Business Year,State,Insurer ID,Price Gap,Price Gap (Previous Year),Market Share (%),Market Share (%) (Previous Year),Medicaid Expansion Impact,Medicaid Expansion Impact (Previous Year),Plan Count,Plan Count (Previous Year),Market Exit
2024,Georgia,89942,-11,-11,0.120521173,0.099585062,0,0,148,168,1
2023,Georgia,90617,-11,,0.0634262,,0,,107,,1
2025,Georgia,,-11,,,,0,,0,,0
2026,Georgia,,-11,,,,0,,0,,0
2023,Hawaii,10046,-8,,0.071428571,,5.311102983,,8,,0
2024,Hawaii,10046,-8,-8,0.082474227,0.071428571,5.311102983,5.311102983,8,8,0
2025,Hawaii,10046,-8,-8,0.081632653,0.082474227,5.311102983,5.311102983,8,8,0
2023,Hawaii,18350,-8,,0.348214286,,5.311102983,,39,,0
2024,Hawaii,18350,-8,-8,0.402061856,0.348214286,5.311102983,5.311102983,39,39,0
2025,Hawaii,18350,-8,-8,0.397959184,0.402061856,5.311102983,5.311102983,39,39,0
2025,Hawaii,31358,-8,,0.040816327,,5.311102983,,4,,0
2023,Hawaii,46082,-8,,0.071428571,,5.311102983,,8,,0
2024,Hawaii,46082,-8,-8,0.082474227,0.071428571,5.311102983,5.311102983,8,8,0
2025,Hawaii,46082,-8,-8,0.081632653,0.082474227,5.311102983,5.311102983,8,8,0
2023,Hawaii,60612,-8,,0.508928571,,5.311102983,,57,,0
2024,Hawaii,60612,-8,-8,0.432989691,0.508928571,5.311102983,5.311102983,42,57,0
2025,Hawaii,60612,-8,-8,0.397959184,0.432989691,5.311102983,5.311102983,39,42,0
2026,Hawaii,,-8,,,,5.311102983,,0,,0
2023,Idaho,,-6,,,,0.75614494,,0,,1
2024,Idaho,,-6,,,,0.75614494,,0,,1
2025,Idaho,,-6,,,,0.75614494,,0,,0
2026,Idaho,,-6,,,,0.75614494,,0,,0
2023,Illinois,11574,-11,,0.076335878,,1.747045506,,150,,0
2024,Illinois,11574,-11,-11,0.048803828,0.076335878,1.747045506,1.747045506,102,150,0
2025,Illinois,11574,-11,-11,0.038331454,0.048803828,1.747045506,1.747045506,68,102,0
2024,Illinois,13947,-11,,0.000956938,,1.747045506,,2,,0
2025,Illinois,13947,-11,-11,0.000563698,0.000956938,1.747045506,1.747045506,1,2,0
2023,Illinois,18715,-11,,0.001017812,,1.747045506,,2,,0
2024,Illinois,18715,-11,-11,0.000956938,0.001017812,1.747045506,1.747045506,2,2,1
2023,Illinois,20129,-11,,0.035114504,,1.747045506,,69,,0
2024,Illinois,20129,-11,-11,0.024401914,0.035114504,1.747045506,1.747045506,51,69,0
2025,Illinois,20129,-11,-11,0.038895152,0.024401914,1.747045506,1.747045506,69,51,0
2024,Illinois,20545,-11,,0.001913876,,1.747045506,,4,,0
2025,Illinois,20545,-11,-11,0.002254791,0.001913876,1.747045506,1.747045506,4,4,0
2023,Illinois,27833,-11,,0.096183206,,1.747045506,,189,,0
2024,Illinois,27833,-11,-11,0.061244019,0.096183206,1.747045506,1.747045506,128,189,0
2025,Illinois,27833,-11,-11,0.046786922,0.061244019,1.747045506,1.747045506,83,128,0
2023,Illinois,32355,-11,,0.016793893,,1.747045506,,33,,0
2024,Illinois,32355,-11,-11,0.019138756,0.016793893,1.747045506,1.747045506,40,33,0
2025,Illinois,32355,-11,-11,0.022547914,0.019138756,1.747045506,1.747045506,40,40,0
2023,Illinois,36096,-11,,0.490585242,,1.747045506,,964,,0
2024,Illinois,36096,-11,-11,0.501435407,0.490585242,1.747045506,1.747045506,1048,964,0
2025,Illinois,36096,-11,-11,0.604847802,0.501435407,1.747045506,1.747045506,1073,1048,0
2023,Illinois,42529,-11,,0.045292621,,1.747045506,,89,,0
2024,Illinois,42529,-11,-11,0.03923445,0.045292621,1.747045506,1.747045506,82,89,0
2025,Illinois,42529,-11,-11,0.037767756,0.03923445,1.747045506,1.747045506,67,82,0
2023,Illinois,43241,-11,,0.001017812,,1.747045506,,2,,0
2024,Illinois,43241,-11,-11,0.000956938,0.001017812,1.747045506,1.747045506,2,2,0
2025,Illinois,43241,-11,-11,0.001127396,0.000956938,1.747045506,1.747045506,2,2,0
2023,Illinois,45634,-11,,0.004071247,,1.747045506,,8,,0
2024,Illinois,45634,-11,-11,0.003827751,0.004071247,1.747045506,1.747045506,8,8,0
2025,Illinois,45634,-11,-11,0.004509583,0.003827751,1.747045506,1.747045506,8,8,0
2023,Illinois,52129,-11,,0.000508906,,1.747045506,,1,,0
2024,Illinois,52129,-11,-11,0.000478469,0.000508906,1.747045506,1.747045506,1,1,1
2023,Illinois,53882,-11,,0.088549618,,1.747045506,,174,,0
2024,Illinois,53882,-11,-11,0.035406699,0.088549618,1.747045506,1.747045506,74,174,0
2025,Illinois,53882,-11,-11,0.016910936,0.035406699,1.747045506,1.747045506,30,74,0
2023,Illinois,54322,-11,,0.02086514,,1.747045506,,41,,0
2024,Illinois,54322,-11,-11,0.013875598,0.02086514,1.747045506,1.747045506,29,41,0
2025,Illinois,54322,-11,-11,0.016347238,0.013875598,1.747045506,1.747045506,29,29,0
2023,Illinois,60600,-11,,0.005597964,,1.747045506,,11,,0
2024,Illinois,60600,-11,-11,0.005263158,0.005597964,1.747045506,1.747045506,11,11,0
2025,Illinois,60600,-11,-11,0.006764374,0.005263158,1.747045506,1.747045506,12,11,0
2023,Illinois,65280,-11,,0.031552163,,1.747045506,,62,,0
2024,Illinois,65280,-11,-11,0.025837321,0.031552163,1.747045506,1.747045506,54,62,1
2023,Illinois,68303,-11,,0.003053435,,1.747045506,,6,,0
2024,Illinois,68303,-11,-11,0.002870813,0.003053435,1.747045506,1.747045506,6,6,0
2025,Illinois,68303,-11,-11,0.003382187,0.002870813,1.747045506,1.747045506,6,6,0
2024,Illinois,72547,-11,,0.022966507,,1.747045506,,48,,0
2025,Illinois,72547,-11,-11,0.006200676,0.022966507,1.747045506,1.747045506,11,48,0
2023,Illinois,80839,-11,,0.005089059,,1.747045506,,10,,0
2024,Illinois,80839,-11,-11,0.004784689,0.005089059,1.747045506,1.747045506,10,10,1
2023,Illinois,83350,-11,,0.000508906,,1.747045506,,1,,0
2024,Illinois,83350,-11,-11,0.000478469,0.000508906,1.747045506,1.747045506,1,1,1
2023,Illinois,84033,-11,,0.001017812,,1.747045506,,2,,0
2024,Illinois,84033,-11,-11,0.000956938,0.001017812,1.747045506,1.747045506,2,2,0
